timestamp,download_speed_mbps,upload_speed_mbps,ping_ms,paquets_enviats,paquets_perduts,temps_mitja
2024-12-20T20:51:18.772669,40396411,625440,17.003,57,0,38.59285714285715
2024-12-20T20:52:43.789813,40298122,777448,38.367,56,0,34.80535714285714
2024-12-20T20:59:18.697256,40586006,543857,17.683,56,0,33.699999999999996
2024-12-20T21:00:45.290870,36140241,482099,19.728,56,0,35.734545454545454
2024-12-20T21:02:21.069050,36189738,631168,13.636,57,0,36.33859649122807
2024-12-20T21:03:56.271223,40342324,547702,13.721,57,0,37.29473684210525
2024-12-20T21:05:18.832601,40121726,720685,14.964,56,0,38.07857142857142
2024-12-20T21:06:43.223310,40702475,729491,14.931,57,0,37.677192982456155
2024-12-20T21:08:06.922064,39841869,660447,14.802,57,0,32.829824561403505
2024-12-20T21:09:30.469679,34745479,648817,14.918,56,0,34.86964285714286
2024-12-20T21:10:56.591621,38281657,581902,17.109,56,0,35.1892857142857
2024-12-20T21:21:45.783169,38995139,592475,15.073,56,0,45.83928571428571
2024-12-20T21:23:15.442640,37819641,548424,15.314,57,0,39.21929824561404
2024-12-20T21:24:40.250664,39365639,540779,14.403,55,0,34.29636363636364
2024-12-20T21:26:07.120590,36447071,501008,13.826,57,0,42.81754385964912
2024-12-20T21:27:33.015361,37865303,484782,14.888,57,0,33.43333333333333
2024-12-20T21:28:58.610259,40528377,494353,14.706,57,0,40.05263157894736
2024-12-20T21:30:23.364021,40427862,472598,13.855,56,0,40.282142857142844
2024-12-20T21:31:49.200662,40488565,566323,13.84,57,0,36.28947368421053
2024-12-20T21:47:39.802213,41224929,541748,14.926,845,0,37.4391200951248
